1:138,45,63
0:82,41.66667,64
2:101,61,97
1:130,56.33333,120
2:156,60.33333,173
3:93,55.33333,199
2:284,44,66
2:242,43.33333,97
1:228,43.66667,107
0:215,43.66667,114
3:359,49,115
1:358,62.66667,164
3:361,61,184
2:469,43.33333,62
2:417,42,86
1:470,43.33333,117
0:435,41.33333,165
0:748,28,42
2:699,27.33333,121
2:733,32.66667,139
3:783,37,171
1:641,28,176
2:667,30.33333,181
3:617,28,182
3:919,24.33333,45
0:867,29.66667,78
0:865,36.33333,110
1:908,41.33333,169
3:1132,13.33333,47
0:1083,28.66667,75
0:1155,31,89
0:1169,14.66667,90
1:1004,38.33333,95
0:1312,47.66667,40
3:1356,20.33333,50
2:1276,46,62
1:1386,44.33333,95
3:1200,47,122
1:1326,48.66667,130
3:1303,59.66667,143
0:1310,59,145
0:1212,62.66667,158
1:1474,22.66667,101
1:1424,50,146
0:1452,37,149
2:1474,24,181
1:1693,19,61
0:1704,18,62
3:1617,37.66667,137
0:1723,40,166
0:1631,28.33333,190
0:1655,32.33333,190
0:1834,15.66667,56
2:1858,22.66667,67
3:1933,13.66667,139
3:1909,14.66667,144
3:1906,16,193
3:8,75.33334,229
0:158,46.66667,262
0:131,54,271
3:195,44.33333,279
3:170,45,281
2:83,61,301
1:126,45,360
0:92,41.66667,381
0:262,45,241
2:374,47,245
2:245,44,273
3:385,28,316
1:315,44.33333,351
1:320,33,382
2:282,44.33333,383
1:418,48.33333,205
3:420,46,211
3:440,41.66667,287
2:484,50.66667,306
3:474,48,309
0:595,44.33333,312
2:403,29,365
3:489,42,378
2:492,41.66667,390
1:563,41.66667,395
3:437,32.33333,396
0:672,35,208
0:708,37.33333,208
1:694,38,216
2:786,37.33333,218
2:621,33.66667,228
0:644,36.33333,305
1:736,23.66667,307
3:779,37.33333,353
0:639,38.33333,364
3:924,44.33333,204
3:882,41.33333,224
1:923,45.33333,283
2:931,47.66667,298
0:923,16.66667,390
2:1106,59,228
1:1041,59.33333,234
0:1031,59,238
3:1173,59.33333,266
0:1162,59,281
0:1040,58.66667,302
3:1192,64.66666,306
0:1193,63,315
0:1087,59.33333,319
1:1167,61.66667,328
3:1091,65,337
2:1001,58.33333,361
3:1096,56.66667,396
1:1112,65.33334,396
0:1271,71.33334,235
1:1238,71.66666,278
1:1394,69,278
2:1237,70.33334,335
0:1288,80.33334,361
0:1291,77,383
3:1309,71.66666,400
1:1502,50.66667,265
2:1496,52.66667,275
2:1507,50.66667,278
2:1410,69.66666,300
3:1447,69.33334,337
1:1423,69.33334,339
1:1572,22.66667,344
1:1498,51,393
0:1725,33.33333,262
0:1662,23.33333,266
3:1695,27.33333,285
0:1703,24.33333,322
1:1683,22.66667,336
3:1605,16.33333,342
3:1654,23.33333,375
3:1700,23,398
2:1857,16.66667,290
2:1843,16.66667,301
0:1832,17.33333,305
0:73,37.66667,415
2:2,53.33333,454
1:98,51.66667,476
3:162,47,477
3:142,53.66667,486
0:71,48,525
3:138,45.33333,528
1:117,30.33333,550
2:192,29.66667,567
3:1,13,593
1:67,30,593
0:267,44.66667,417
0:308,29.33333,536
2:243,29.33333,551
0:303,29.66667,558
2:474,38,402
3:553,37.33333,464
0:411,29.66667,473
0:492,37,473
2:460,32,499
3:424,30,517
0:428,29.66667,529
2:482,31,568
0:639,34,430
3:730,37.66667,442
1:686,37.33333,463
1:704,37.33333,477
0:766,37.66667,478
0:665,37.33333,506
0:698,36.33333,522
3:753,37.33333,538
2:776,31,593
3:844,37.33333,426
3:817,36.66667,451
3:850,37.33333,507
2:912,38.66667,530
2:952,39.66667,539
2:855,31.33333,587
2:1158,57.33333,498
3:1019,49.66667,526
2:1114,56.66667,530
0:1073,52.33333,562
3:1080,48,582
0:1126,48.33333,599
0:1205,69,417
0:1234,64.66666,468
0:1336,61,477
0:1379,63.66667,480
0:1370,64.66666,482
1:1396,59.66667,488
1:1324,60,499
0:1218,69.33334,504
3:1393,48,533
2:1226,55.66667,541
2:1316,34.66667,554
1:1212,54.66667,561
3:1216,53.33333,582
2:1402,69.33334,405
3:1403,71.33334,431
2:1405,63,473
0:1419,53.66667,497
2:1514,36.33333,497
3:1593,30,502
1:1581,28.66667,512
1:1509,40,561
1:1405,45.33333,575
2:1795,16,471
0:1630,33.66667,484
0:1605,27.66667,515
2:1646,28,516
3:1762,30,549
2:1633,27.66667,566
3:1759,34,593
0:1847,16.33333,448
1:1835,20.33333,547
1:140,41,700
0:104,30,760
1:119,29,788
1:19,46.33333,790
1:333,34,699
2:204,44.66667,720
3:336,31.33333,729
0:356,29,751
3:459,29.66667,605
1:552,33.66667,611
0:543,29.66667,635
3:561,26,651
3:548,19.66667,672
0:424,29,702
2:523,16,741
2:753,31.66667,601
2:661,33.66667,606
3:671,29.66667,628
1:696,15.66667,687
2:742,16,689
3:780,17.33333,704
3:753,19.66667,750
3:624,32,777
1:699,15.66667,783
3:843,33.66667,618
0:912,28.66667,624
3:824,29.33333,641
0:863,20.33333,689
3:969,18.66667,714
1:854,18,723
0:816,17.33333,747
0:987,18.66667,773
3:994,19.33333,773
2:1099,48.33333,605
1:1094,48.33333,613
1:1010,43.33333,620
2:1016,41,638
2:1078,27.33333,728
2:1127,26.33333,761
0:1248,46.33333,614
1:1371,30,631
3:1220,45.33333,638
1:1367,31.33333,664
2:1241,32.33333,732
2:1354,36.33333,798
1:1585,29.66667,630
0:1500,48.66667,634
2:1505,43,639
2:1540,43.66667,652
2:1595,28.33333,654
2:1513,42,661
3:1411,31,684
0:1499,62.66667,742
0:1514,62.33333,749
3:1432,48.66667,753
0:1489,62,781
1:1764,35.66667,606
3:1743,36.33333,620
2:1652,27,650
0:1770,44,702
0:1633,42,717
1:1605,42,725
2:1607,42,733
1:1612,60.66667,775
2:1713,47.33333,784
3:1748,42.66667,784
1:1863,14.66667,634
2:1847,15.66667,707
1:1834,10.33333,760
0:1875,41,785
1:135,28.66667,832
0:64,31.66667,839
1:109,29.33333,842
0:90,35,898
3:105,32.66667,924
1:146,32.66667,938
0:132,33,943
0:267,29,837
2:380,23.33333,883
0:483,26.66667,845
2:409,15.33333,884
1:498,19.33333,914
0:458,23.66667,972
1:596,18.66667,991
0:408,20.66667,993
1:643,20,815
1:649,15.66667,821
1:768,19,859
2:792,19.33333,868
2:707,20,903
3:800,19.33333,906
3:637,19.66667,929
2:705,19,957
0:797,19.66667,989
2:623,18.66667,996
0:921,29.33333,825
3:858,21.66667,855
3:826,19.66667,859
3:925,27,901
1:951,24.66667,918
3:975,27,935
2:866,18.66667,949
2:826,18.66667,951
1:921,22,952
1:995,23.66667,974
3:922,24,977
2:1186,24.66667,811
1:1182,16.66667,843
1:1013,23.66667,875
2:1091,16.66667,914
3:1200,16.66667,966
1:1310,25.66667,849
0:1218,18.33333,875
3:1328,29,900
3:1333,25.66667,909
1:1270,18.33333,928
2:1225,16,955
2:1212,17.66667,960
1:1261,32.33333,971
2:1382,29.33333,995
3:1233,17.33333,998
0:1326,33.33333,999
3:1409,43.66667,800
1:1504,39.66667,822
1:1499,29.33333,867
1:1469,37.66667,897
0:1435,51,899
2:1542,29.33333,909
3:1525,30,933
1:1515,24.66667,934
1:1457,23.66667,936
2:1703,43.33333,826
1:1664,67.33334,860
3:1745,53.66667,946
1:1722,48.66667,973
1:1875,42,808
0:1816,47.33333,826
2:60,33.33333,1002
1:43,32,1022
0:125,40.66667,1040
0:170,45.33333,1088
2:184,42.66667,1093
1:195,40.33333,1112
1:185,37.66667,1120
3:131,45.66667,1124
1:133,42,1170
0:230,16,1042
0:383,20.66667,1042
1:321,16.66667,1070
0:276,29.66667,1098
3:207,32.66667,1118
0:205,33,1123
0:206,30.33333,1131
1:201,30.33333,1136
3:261,32.66667,1188
0:432,24.66667,1021
2:473,23.66667,1040
1:444,23.33333,1046
1:581,19,1067
1:447,20.66667,1073
2:593,19.66667,1092
0:490,18,1152
1:479,18.33333,1167
2:411,21.33333,1181
2:542,20,1187
0:713,18.66667,1019
2:682,19.33333,1058
0:626,20,1078
1:624,19.66667,1093
1:658,19.33333,1117
2:605,19,1122
0:731,19.66667,1123
2:770,23,1159
2:642,20.33333,1193
0:640,20.33333,1196
0:937,22.33333,1017
3:898,19.66667,1046
0:894,19.33333,1048
0:984,18,1066
0:878,17,1089
1:993,18,1091
1:953,18.33333,1120
0:979,17.66667,1133
3:1101,17.33333,1020
3:1177,17.33333,1064
2:1065,17.33333,1073
0:1064,17.33333,1076
3:1200,17.33333,1082
3:1026,17.33333,1090
0:1015,17.33333,1111
2:1029,17.66667,1128
1:1164,18.66667,1150
3:1210,17,1016
1:1370,31.66667,1016
3:1223,17.33333,1063
0:1367,31,1104
2:1278,33,1109
2:1320,31,1165
0:1574,44,1006
2:1453,32.66667,1018
1:1441,38.66667,1021
2:1482,34.66667,1039
3:1464,15.66667,1099
3:1513,18,1107
0:1538,18.33333,1142
2:1789,22.66667,1018
2:1720,21,1048
0:1766,15.33333,1054
0:1740,16.33333,1068
3:1660,22.33333,1099
1:1734,13,1172
2:1617,18.33333,1194
1:1741,16,1200
3:1802,28,1109
2:1857,19.66667,1115
0:42,31.66667,1223
1:155,27.66667,1238
2:61,29.33333,1250
0:157,27.66667,1250
2:114,31.33333,1289
3:8,49.66667,1313
1:161,43.66667,1371
3:147,45,1385
3:227,28,1202
1:215,33.33333,1250
3:309,21.33333,1253
0:205,29.66667,1279
0:379,22.33333,1287
1:357,15.33333,1298
3:361,19,1306
2:311,24.33333,1339
0:332,20,1340
2:528,20.33333,1244
0:462,18.33333,1260
0:477,20.66667,1273
2:581,19.33333,1279
1:410,25.66667,1330
1:503,24.66667,1378
3:649,21.33333,1232
1:721,22.33333,1254
2:773,18.33333,1259
3:677,19.66667,1310
1:791,18,1319
3:776,17,1382
0:695,17.66667,1390
1:989,24,1211
1:931,17.66667,1292
1:830,17.33333,1317
1:808,18,1379
3:901,19.66667,1381
3:1016,31,1255
